painting,title,img,inceptionYear,name,genderLabel,countryLabel,movementLabel
http://www.wikidata.org/entity/Q24057746,Portrait of a Man (Alexei Morgunov?),http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20a%20man%20%28Malevich%2C%201912%29.jpg,1912-01-01T00:00:00Z,Kazimir Malevich,male,Russian Empire,Russian avant-garde
http://www.wikidata.org/entity/Q27061824,Portrait of Una,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Una%20%28Malevich%2C%201932%29.png,1932-01-01T00:00:00Z,Kazimir Malevich,male,Russian Empire,Russian avant-garde
http://www.wikidata.org/entity/Q42422890,Portrait of a Woman with a Yellow Hat,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Woman%20in%20Yellow%20Hat%20%28Malevich%2C%201930%29.jpg,1920-01-01T00:00:00Z,Kazimir Malevich,male,Russian Empire,Russian avant-garde
http://www.wikidata.org/entity/Q17490669,Louis-Alfred Natanson,http://commons.wikimedia.org/wiki/Special:FilePath/Felix%20Vallotton%20Alfred-Athis%20Natanson.jpg,1906-01-01T00:00:00Z,Félix Vallotton,male,France,Les Nabis
http://www.wikidata.org/entity/Q17491109,Concierge,http://commons.wikimedia.org/wiki/Special:FilePath/F%C3%A9lix%20Vallotton%2C%201888%20-%20Concierge.gif,1888-01-01T00:00:00Z,Félix Vallotton,male,France,Les Nabis
http://www.wikidata.org/entity/Q17493952,"Henriette Bernheim, stepmother of the artist",http://commons.wikimedia.org/wiki/Special:FilePath/Madame%20Alexandre%20Bernheim.jpg,1902-01-01T00:00:00Z,Félix Vallotton,male,France,Les Nabis
http://www.wikidata.org/entity/Q17493995,Gabrielle Vallotton doing nails,http://commons.wikimedia.org/wiki/Special:FilePath/F%C3%A9lix%20vallotton%2C%20madame%20f%C3%A9lix%20vallotton%2C%201899.JPG,1899-01-01T00:00:00Z,Félix Vallotton,male,France,Les Nabis
http://www.wikidata.org/entity/Q17494205,Marthe Mellot,http://commons.wikimedia.org/wiki/Special:FilePath/F%C3%A9lix%20Vallotton%2C%201905-1906%20-%20Marthe%20Mellot%20%28%C3%A9p.%20Natanson%29.jpg,1905-01-01T00:00:00Z,Félix Vallotton,male,France,Les Nabis
http://www.wikidata.org/entity/Q17494286,Misia à sa coiffeuse,http://commons.wikimedia.org/wiki/Special:FilePath/F%C3%A9lix%20Vallotton%20-%20Misia%20at%20Her%20Dressing%20Table%20-%20Google%20Art%20Project.jpg,1898-01-01T00:00:00Z,Félix Vallotton,male,France,Les Nabis
http://www.wikidata.org/entity/Q17495301,Portrait of Alexandre Natanson,http://commons.wikimedia.org/wiki/Special:FilePath/Felix%20Vallotton%2C%201899%20-%20Alexandre%20Natanson.jpg,1899-01-01T00:00:00Z,Félix Vallotton,male,France,Les Nabis
http://www.wikidata.org/entity/Q24808398,Breton woman sitting at the seashore.,http://commons.wikimedia.org/wiki/Special:FilePath/S%C3%A9rusier%20Breton%20woman.jpg,1895-01-01T00:00:00Z,Paul Sérusier,male,France,Symbolism
http://www.wikidata.org/entity/Q24808461,Naik-the bride (detail).,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20S%C3%A9rusier%20-%20Naik%20%E2%80%93%20fianc%C3%A9e%20%28Naik-la%20fianc%C3%A9e%29%20-%20M.Ob.2193%20-%20National%20Museum%20in%20Warsaw.jpg,1895-01-01T00:00:00Z,Paul Sérusier,male,France,Symbolism
http://www.wikidata.org/entity/Q64856154,The Holy Face,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20S%C3%A9rusier%201904c%20La%20Sainte-Face.jpg,1904-01-01T00:00:00Z,Paul Sérusier,male,France,Symbolism
http://www.wikidata.org/entity/Q17495316,Portrait of Paul Ranson in Nabi costume,http://commons.wikimedia.org/wiki/Special:FilePath/Portr%C3%A4t%20Paul%20Ranson.jpg,1890-01-01T00:00:00Z,Paul Sérusier,male,France,Les Nabis
http://www.wikidata.org/entity/Q21152916,Two Breton Women under an Apple Tree in Flower,http://commons.wikimedia.org/wiki/Special:FilePath/Two%20Breton%20Women%20under%20an%20Apple%20Tree%20in%20Flower%201892%20Paul%20Serusier.jpg,1892-01-01T00:00:00Z,Paul Sérusier,male,France,Les Nabis
http://www.wikidata.org/entity/Q79133900,Portrait of an Unknown Sitter as a Troubadour,http://commons.wikimedia.org/wiki/Special:FilePath/Fr%C3%A9d%C3%A9ric%20Bazille%20-%20Portrait%20de%20Paul%20Verlaine%20comme%20une%20Troubadour.jpg,1875-01-01T00:00:00Z,Frédéric Bazille,male,France,Realism
http://www.wikidata.org/entity/Q24284171,Portrait of artist's wife Julia (Julia Stabrowska née Janiszewska).,http://commons.wikimedia.org/wiki/Special:FilePath/Kazimierz%20Stabrowski%20-%20Portrait%20of%20Julia%20Stabrowska%20n%C3%A9e%20Janiszewska%2C%20artist%E2%80%99s%20wife%20-%20MP%20385%20-%20National%20Museum%20in%20Warsaw.jpg,1900-01-01T00:00:00Z,Kazimierz Stabrowski,male,Poland,Symbolism
